situation_lemmatized,situation_lemmatized_lowered
I Found out my girlfriend of 5 year make out with a coworker. I have be cheat on her for a month.,I find out my girlfriend of 5 year make out with a coworker. i have be cheat on her for a month.
I Found out my girlfriend of 5 year make out with a coworker. I have be cheat on her for a month.,I find out my girlfriend of 5 year make out with a coworker. i have be cheat on her for a month.
I am my coworker his mistress and I love it.,I I am my coworker his mistress and i love it.
I go to extra length to hold door open for old men to spite my entitle mother even though she's in another state.,I i go to extra length to hold door open for old men to spite my entitle mother even though she's in another state.
I lose my daughter to her vindictive father in court.,I i lose my daughter to her vindictive father in court.
I lose my daughter to her vindictive father in court.,I i lose my daughter to her vindictive father in court.
I fail to pay it forward.,I i fail to pay it forward.
Everytime I see homeless people i want to hurt them.,I everytime i see homeless people i want to hurt them.
I have a seemingly perfect life; I'm absolutely miserable.,I i have a seemingly perfect life; i'm absolutely miserable.
I hate Americans go on about free country.,I i hate american go on about free country.
I hate Americans go on about free country.,I i hate american go on about free country.
I dislike people tall than me.,I i dislike people tall than me.
I think about cheat on my husband more than i should but hear me out.,I i think about cheat on my husband more than i should but hear me out.
I think about cheat on my husband more than i should but hear me out.,I i think about cheat on my husband more than i should but hear me out.
I think about cheat on my husband more than i should but hear me out.,I i think about cheat on my husband more than i should but hear me out.
I find my cousin attractive.,I i find my cousin attractive.
I can never seem to cry and that make me sad.,I i can never seem to cry and that make me sad.
"I can't stand my stepdaughter. She might be awful or I might just be a jealous b-word. Either way, I'm about ready to bail.","I i can't stand my stepdaughter. she might be awful or i might just be a jealous b-word. either way, i'm about ready to bail."
I lie about eat the dog cheeseburger.,I i lie about eat the dog cheeseburger.
I am desperately try to fill the void.,I I am desperately try to fill the void.
I hat school and everyone in it.,I i hat school and everyone in it.
I love my brother's wife.,I i love my brother's wife.
I love my brother's wife.,I i love my brother's wife.
I am lose on purpose.,I I am lose on purpose.
I’m a professional sociopath and stalker.,I i’m a professional sociopath and stalker.
The more I hear about happy marriage the less I feel capable to ever have one.,I the more i hear about happy marriage the less i feel capable to ever have one.
I hate the family I'm go to marry into.,I i hate the family i'm go to marry into.
I lie about be an Orthodox Jew so I didn’t have to work night in my retail job.,I i lie about be an orthodox jew so i didn’t have to work night in my retail job.
I lie about be an Orthodox Jew so I didn’t have to work night in my retail job.,I i lie about be an orthodox jew so i didn’t have to work night in my retail job.
I lie about be an Orthodox Jew so I didn’t have to work night in my retail job.,I i lie about be an orthodox jew so i didn’t have to work night in my retail job.
I lie about be an Orthodox Jew so I didn’t have to work night in my retail job.,I i lie about be an orthodox jew so i didn’t have to work night in my retail job.
I ruin my dad's relationship with her new girlfriend.,I i ruin my dad's relationship with her new girlfriend.
I lie to myself constantly at school.,I i lie to myself constantly at school.
I lie to myself constantly at school.,I i lie to myself constantly at school.
I hide my addiction well.,I i hide my addiction well.
I hide my addiction well.,I i hide my addiction well.
"It Infuriates me when I see my wife watch the Kardashians, and..","It infuriate me when i see my wife watch the kardashians, and.."
I still stalk my ex.,I i still stalk my ex.
I still stalk my ex.,I i still stalk my ex.
"I watch War of the Worlds with my dad when I am 11, and I still get nightmares. I'm 27.","I i watch war of the world with my dad when I am 11, and i still get nightmares. i'm 27."
"I watch War of the Worlds with my dad when I am 11, and I still get nightmares. I'm 27.","I i watch war of the world with my dad when I am 11, and i still get nightmares. i'm 27."
"I love my wife more than anything on earth, but..","I i love my wife more than anything on earth, but.."
"I love my wife more than anything on earth, but..","I i love my wife more than anything on earth, but.."
As a cop I sometimes raid people's house for fun.,I as a cop i sometimes raid people's house for fun.
As a cop I sometimes raid people's house for fun.,I as a cop i sometimes raid people's house for fun.
I once frame my sister for my broken phone.,I i once frame my sister for my broken phone.
I I'm terrify that if I get left alone for too long I may end up dead.,I i'm terrify that if i get leave alone for too long i may end up dead.
I lie to my wife about get a vasectomy.,I i lie to my wife about get a vasectomy.
I put my baby to sleep on his tummy.,I i put my baby to sleep on his tummy.
I Used my power for evil.,I use my power for evil.
I cheat on my girlfriend of 4 year and lie about it for 5 months.,I i cheat on my girlfriend of 4 year and lie about it for 5 months.
I love hook up with the daughter of racist parent.,I i love hook up with the daughter of racist parent.
I cheat on my girlfriend of 4 year and lie about it for 5 months.,I i cheat on my girlfriend of 4 year and lie about it for 5 months.
I love hook up with the daughter of racist parent.,I i love hook up with the daughter of racist parent.
